team_id,team,confed,host,pot,projected_elo,rating_uncertainty,sirius_index,sirius_confidence,qualification_status,coach,captain,source_id,as_of
PER,Perú,CONMEBOL,0,3,1640,68,0.0,0.0,projected,Luiz Antônio Venker de Menezes (Mano Menezes),Por definir,scenario,2026-08-17
CRC,Costa Rica,CONCACAF,0,3,1645,65,0.0,0.0,projected,Fernando Ariel Batista,Orlando Moisés Galo Calderón,scenario,2026-08-17
JAM,Jamaica,CONCACAF,0,3,1625,68,0.0,0.0,projected,Por definir,André Jason Blake,scenario,2026-08-17
TUN,Túnez,CAF,0,3,1665,60,0.0,0.0,projected,Mouin Chaâbani,Ellyes Joris Skhiri,scenario,2026-08-17
CMR,Camerún,CAF,0,3,1710,62,0.0,0.0,projected,David Pagou,Por definir,scenario,2026-08-17
GHA,Ghana,CAF,0,3,1655,65,0.0,0.0,projected,Por definir,Jordan Ayew,scenario,2026-08-17
MLI,Mali,CAF,0,3,1690,62,0.0,0.0,projected,Por definir,Por definir,scenario,2026-08-17
QAT,Qatar,AFC,0,3,1615,68,0.0,0.0,projected,Julen Lopetegui Agote,Por definir,scenario,2026-08-17
UZB,Uzbekistán,AFC,0,3,1660,62,0.0,0.0,projected,Fabio Cannavaro,Eldor Shomurodov,scenario,2026-08-17
IRQ,Irak,AFC,0,3,1605,70,0.0,0.0,projected,Graham Arnold,Jalal Hassan Hachim,scenario,2026-08-17
NZL,Nueva Zelanda,OFC,0,4,1575,68,0.0,0.0,projected,Darren Shaun Bazeley,Christopher Grant Wood,scenario,2026-08-17
SWE,Suecia,UEFA,0,4,1695,62,0.0,0.0,projected,Graham Stephen Potter,Victor Nilsson Lindelöf,scenario,2026-08-17
POL,Polonia,UEFA,0,4,1675,65,0.0,0.0,projected,Jan Urban,Robert Lewandowski,scenario,2026-08-17
CZE,Chequia,UEFA,0,4,1680,62,0.0,0.0,projected,Santi Denia,Ladislav Krejčí,scenario,2026-08-17
GRE,Grecia,UEFA,0,4,1645,65,0.0,0.0,projected,Ivan Jovanović,Anastasios Bakasetas,scenario,2026-08-17
HON,Honduras,CONCACAF,0,4,1535,75,0.0,0.0,projected,José Francisco Molina Jiménez,Por definir,scenario,2026-08-17
GUA,Guatemala,CONCACAF,0,4,1515,78,0.0,0.0,projected,Luis Fernando Tena Garduño,Por definir,scenario,2026-08-17
RSA,Sudáfrica,CAF,0,4,1600,68,0.0,0.0,projected,Pitso Mosimane,Ronwen Hayden Williams,scenario,2026-08-17
COD,República Democrática del Congo,CAF,0,4,1595,72,0.0,0.0,projected,Sébastien Serge Louis Desabre,Chancel Mbemba,scenario,2026-08-17
UAE,Emiratos Árabes Unidos,AFC,0,4,1570,70,0.0,0.0,projected,Zlatko Dalić,Ali Khaseif Humaid Khaseif Al Hosani,scenario,2026-08-17
JOR,Jordania,AFC,0,4,1585,68,0.0,0.0,projected,Badou Zaki,Mousa Al-Tamari,scenario,2026-08-17
CPV,Cabo Verde,CAF,0,4,1650,65,0.0,0.0,projected,Humberto Bettencourt,Ryan Mendes,real_qualifier_2026,2026-08-25
CUW,Curazao,CONCACAF,0,4,1540,72,0.0,0.0,projected,Dick Advocaat,Leandro Bacuna,real_qualifier_2026,2026-08-25
HAI,Haití,CONCACAF,0,4,1520,75,0.0,0.0,projected,David Badía,Johny Placide,real_qualifier_2026,2026-08-25
SCO,Escocia,UEFA,0,4,1700,58,0.0,0.0,projected,Sébastien Pocognoli,Andy Robertson,real_qualifier_2026,2026-08-25
BIH,Bosnia y Herzegovina,UEFA,0,4,1735,55,0.0,0.0,projected,Sergej Barbarez,Edin Džeko,real_qualifier_2026,2026-08-25
